A1_A2,2010,2015,2020
48,300.0,0.0,0.0
49,300.0,0.0,0.0
50,300.0,0.0,181.737
51,300.0,0.0,40.297
52,300.0,0.0,0.0
53,300.0,0.0,164.857
54,300.0,5.811,0.0
55,300.0,93.566,31.284
56,300.0,106.449,0.0
57,300.0,15.219,0.0
58,300.0,358.321,75.015
59,300.0,276.674,139.56
60,300.0,283.742,131.761
61,300.0,158.085,240.892
62,300.0,140.649,219.952
63,300.0,101.444,144.305
64,300.0,0.0,66.783
65,300.0,44.576,0.0
66,205.675,0.0,0.0
67,169.91,0.0,0.0
68,161.271,47.864,0.0
69,166.671,0.0,0.0
70,300.0,0.0,0.0
71,300.0,0.0,0.0
72,300.0,0.0,0.0
73,300.0,0.0,0.0
74,300.0,0.0,0.0
75,300.0,0.0,0.0
76,289.529,0.0,0.0
77,288.952,0.0,0.0
78,300.0,0.0,0.0
79,300.0,0.0,0.0
80,300.0,0.0,0.0
81,300.0,0.0,303.307
82,300.0,0.0,300.292
83,300.0,0.0,297.633
84,300.0,0.0,319.468
85,300.0,0.0,286.686
86,300.0,0.0,216.186
87,300.0,0.0,0.0
88,300.0,0.0,0.0
89,300.0,0.0,0.0
90,300.0,0.0,0.0
91,300.0,0.0,4.357
92,300.0,0.0,60.261
93,300.0,0.0,0.0
94,300.0,0.0,0.0
95,300.0,0.0,23.034
96,300.0,0.0,0.0
97,300.0,0.0,0.0
98,300.0,0.0,103.22
99,300.0,0.0,87.581
100,300.0,0.0,0.0
101,300.0,0.0,53.935
102,300.0,0.0,12.185
103,300.0,170.462,156.154
104,300.0,265.631,217.65
105,300.0,308.778,194.126
106,300.0,379.669,258.56
107,300.0,400.0,235.073
108,300.0,352.57,148.682
109,300.0,300.383,286.493
110,300.0,313.875,243.896
111,300.0,321.34,181.726
112,300.0,385.486,194.121
113,300.0,314.347,0.0
114,300.0,107.365,0.0
115,300.0,37.646,0.0
116,300.0,13.057,0.0
117,300.0,38.953,71.154
118,300.0,138.834,0.0
119,300.0,162.898,274.294
120,300.0,43.326,143.814
121,300.0,0.0,0.0
122,244.485,0.0,0.0
123,65.247,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,215.522,0.0,0.0
128,300.0,0.0,0.0
129,300.0,0.0,194.562
130,300.0,0.0,194.562
131,300.0,0.0,194.648
132,300.0,0.0,232.857
133,300.0,0.0,194.562
134,300.0,0.0,194.562
135,300.0,0.0,193.583
136,300.0,0.0,194.562
137,300.0,0.0,0.0
138,300.0,0.0,31.786
139,300.0,0.0,82.69
140,300.0,0.0,72.463
141,300.0,0.0,50.921
142,300.0,0.0,0.101
143,300.0,0.0,0.0
144,300.0,0.0,0.0
145,300.0,0.0,44.483
146,300.0,0.0,118.699
147,300.0,0.0,354.252
148,300.0,0.0,152.034
149,300.0,0.0,350.897
150,300.0,54.722,0.0
151,300.0,0.0,0.0
152,300.0,86.336,0.0
153,300.0,398.898,0.0
154,300.0,400.0,0.0
155,300.0,248.791,0.0
156,300.0,198.827,0.0
157,300.0,189.8,140.047
158,300.0,211.181,127.574
159,300.0,145.427,0.0
160,300.0,212.125,0.0
161,300.0,220.982,0.0
162,300.0,168.615,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,300.0,0.0,0.0
166,300.0,0.0,0.0
167,300.0,0.0,0.0
168,300.0,0.0,0.0
169,300.0,0.0,249.948
170,300.0,0.0,7.54
171,300.0,0.0,0.0
172,300.0,0.0,0.0
173,300.0,0.0,0.0
174,300.0,0.0,0.0
175,300.0,0.0,250.604
176,300.0,0.0,96.879
177,300.0,0.0,44.704
178,300.0,96.6,114.154
179,300.0,183.206,170.714
180,300.0,172.483,201.009
181,300.0,0.0,263.666
182,300.0,0.0,308.221
183,300.0,0.0,249.266
184,300.0,0.0,96.97
185,300.0,0.0,0.0
186,300.0,37.197,44.844
187,300.0,20.06,96.075
188,300.0,3.386,63.013
189,300.0,0.0,0.0
190,300.0,0.0,116.818
191,300.0,0.0,45.404
192,300.0,0.0,207.147
B1_B2,2010,2015,2020
1,169.416,0.0,200.0
2,97.575,143.984,200.0
3,165.838,52.978,200.0
4,200.0,0.0,200.0
5,200.0,0.0,200.0
6,193.069,0.0,200.0
7,0.0,0.0,200.0
8,82.871,200.0,200.0
9,193.795,200.0,200.0
10,178.535,200.0,200.0
11,176.641,200.0,200.0
12,200.0,0.0,200.0
13,184.443,200.0,200.0
14,200.0,200.0,200.0
15,118.217,200.0,200.0
16,127.99,200.0,200.0
17,0.0,200.0,200.0
18,0.0,14.664,200.0
19,0.0,53.34,200.0
20,22.283,200.0,200.0
21,98.71,66.469,200.0
22,0.0,145.775,200.0
23,0.0,141.949,200.0
24,0.0,75.399,200.0
25,200.0,0.0,200.0
26,173.82,0.0,200.0
27,148.838,0.0,200.0
28,37.537,0.0,200.0
29,17.713,0.0,174.64
30,85.728,0.0,200.0
31,120.85,0.0,200.0
32,200.0,0.0,200.0
33,200.0,79.384,200.0
34,200.0,0.0,200.0
35,200.0,0.0,200.0
36,200.0,0.0,200.0
37,200.0,194.374,200.0
38,200.0,200.0,200.0
39,200.0,157.322,200.0
40,134.967,0.0,200.0
41,200.0,0.0,200.0
42,0.0,74.016,200.0
43,0.0,126.799,200.0
44,0.0,54.255,200.0
45,97.575,138.495,200.0
46,122.52,0.0,142.227
47,99.458,152.104,200.0
48,186.579,0.0,200.0
49,32.973,0.0,0.0
50,161.878,0.0,0.0
51,53.616,0.0,0.0
52,0.0,0.0,0.0
53,44.446,0.0,0.0
54,11.58,0.0,118.732
55,188.97,48.866,200.0
56,153.095,54.091,200.0
57,182.805,165.913,200.0
58,158.718,0.0,200.0
59,200.0,7.955,200.0
60,191.15,0.0,200.0
61,200.0,200.0,200.0
62,200.0,200.0,200.0
63,192.206,200.0,200.0
64,200.0,198.721,200.0
65,117.845,0.0,200.0
66,0.0,0.0,200.0
67,0.0,0.0,200.0
68,0.0,0.0,200.0
69,0.0,0.0,200.0
70,162.562,0.0,200.0
71,178.778,0.0,200.0
72,116.313,0.0,59.119
73,6.831,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,124.807,0.0,0.0
82,171.208,0.0,0.0
83,200.0,0.0,0.0
84,200.0,0.0,38.456
85,149.657,0.0,0.0
86,109.73,0.0,0.0
87,52.308,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,51.34,0.0,0.0
91,137.889,0.0,0.0
92,97.414,0.0,0.0
93,46.595,0.0,0.0
94,134.242,0.0,0.0
95,152.339,0.0,0.0
96,6.926,0.0,0.0
97,92.948,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,73.267,0.0,0.0
103,69.28,0.0,200.0
104,200.0,0.0,200.0
105,200.0,0.0,200.0
106,200.0,26.68,200.0
107,200.0,14.165,200.0
108,200.0,0.0,200.0
109,200.0,109.577,200.0
110,200.0,89.357,200.0
111,200.0,0.0,200.0
112,200.0,0.0,200.0
113,163.359,0.0,200.0
114,200.0,0.0,200.0
115,169.269,0.0,200.0
116,200.0,0.0,86.288
117,150.922,0.0,200.0
118,111.1,0.0,200.0
119,7.374,0.0,200.0
120,24.14,0.0,200.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
